"Asterix: The Mansions of the Gods","Neopica","Bigben Interactive","Unreleased","December 18, 2014","Unreleased","November 28, 2014",""
"Astro","7 Raven Studios","Enjoy Gaming","Unreleased","September 26, 2013","Unreleased","Unreleased",""
"Atlantic Quest","Rokapublish","Maximum Games","October 28, 2015","April 15, 2014","Unreleased","June 12, 2014",""
"Atlantis-6","Igor Gafton","Igor Gafton","October 28, 2015","October 1, 2020","Unreleased","October 15, 2020",""
"Attack of the Friday Monsters! A Tokyo Tale","Millennium KitchenAquaria","Level-5","March 13, 2013","July 18, 2013","July 18, 2013","July 18, 2013",""
"Attack on Titan: Humanity in Chains","Spike Chunsoft","Atlus","December 5, 2013","May 12, 2015","July 2, 2015","July 2, 2015",""
"Attack on Titan 2: Future Coordinates","Spike Chunsoft","Spike Chunsoft","November 30, 2017","Unreleased","Unreleased","Unreleased",""
"ATV Wild Ride 3D","Renegade Kid","Renegade Kid","Unreleased","March 7, 2013","Unreleased","Unreleased",""
"Azada","Big Fish Games","Big Fish Games","Unreleased","May 1, 2014","May 1, 2014","July 12, 2012",""
"Azito 3D","Astec 21","Hamster Corporation","November 3, 2011","Unreleased","Unreleased","Unreleased",""
"Azito 3D Kyoto","Astec 21","Hamster Corporation","June 6, 2012","Unreleased","Unreleased","Unreleased",""
"Azito 3D Osaka","Astec 21","Hamster Corporation","March 6, 2013","Unreleased","Unreleased","Unreleased",""
"Azito 3D Tokyo","Astec 21","Hamster Corporation","December 5, 2012","Unreleased","Unreleased","Unreleased",""
"Azure Snake","RandomSpin","RandomSpin","Unreleased","January 24, 2019","Unreleased","January 10, 2019",""
"Azure Striker Gunvolt","Inti Creates","Inti Creates","August 20, 2014","August 29, 2014","April 2, 2015","April 2, 2015",""
"Azure Striker Gunvolt 2","Inti Creates","Inti Creates","August 25, 2016","September 30, 2016","September 30, 2016","September 30, 2016",""
"Back in 1995 64","Throw the Warped Code Out","Throw the Warped Code Out","March 14, 2018","Unreleased","Unreleased","Unreleased",""
"Balloon Pop Remix","UFO Interactive Games","UFO Interactive Games","Unreleased","September 6, 2012","Unreleased","September 27, 2012",""
"Banana Bliss: Jungle Puzzles","Teyon","Teyon","May 8, 2013","December 19, 2013","Unreleased","December 19, 2013",""
"Barbie and her Sisters: Puppy Rescue","Little Orbit","Little Orbit","Unreleased","November 3, 2015","November 15, 2015","November 19, 2015",""
"Barbie: Dreamhouse Party","Little Orbit","Bandai Namco","Unreleased","November 12, 2013","November 21, 2013","November 22, 2013",""
"Barbie: Groom and Glam Pups","Game Machine Studios","Little Orbit","Unreleased","August 15, 2013","Unreleased","August 15, 2013",""
"Batman: Arkham Origins Blackgate","Armature Studio","Warner Bros. Interactive Entertainment","Unreleased","October 25, 2013","November 6, 2013","November 8, 2013",""
"Battle Cats Pop!","Ponos","Ponos","May 31, 2015","June 30, 2016","Unreleased","June 30, 2016",""
"Battleminer","Wobbly Tooth","Wobbly Tooth","February 10, 2016","November 20, 2014","Unreleased","December 11, 2014",""
"Battleminerz","Wobbly Tooth","Wobbly Tooth","January 17, 2018","December 21, 2017","December 21, 2017","December 21, 2017",""
"Battleship","Magic Pockets","Activision","Unreleased","May 15, 2012","April 18, 2012","April 20, 2012",""
"BearShark","Silverball Studios","CollegeHumor","Unreleased","May 2, 2013","Unreleased","June 19, 2014",""
"Beast Saga: Saikyou Gekiotsu Coliseum","Nippon Columbia","Nippon Columbia","July 25, 2013","Unreleased","Unreleased","Unreleased",""
"Bella Sara: The Magical Horse Adventures","Eko Software","Bigben Interactive","Unreleased","Unreleased","Unreleased","June 8, 2012",""
"Bella Sara 2: The Magic of Drasilmare","Eko Software","Bigben Interactive","Unreleased","Unreleased","Unreleased","November 22, 2013",""
"Ben 10: Galactic Racing","Monkey Bar Games","D3 PublisherBandai Namco","Unreleased","October 18, 2011","March 15, 2012","November 25, 2011",""
"Ben 10: Omniverse","1st Playable Productions","D3 PublisherBandai Namco","Unreleased","November 13, 2012","November 29, 2012","November 30, 2012",""
"Ben 10: Omniverse 2","1st Playable Productions","D3 PublisherBandai Namco","Unreleased","November 5, 2013","November 28, 2013","November 22, 2013",""
"Best Friends: My Horse 3D","Interactive Arts","NA: Gamers DigitalEU: Treva Entertainment","Unreleased","April 30, 2015","Unreleased","March 26, 2015",""
"Best of Arcade Games: Air Hockey","EKO Software","Bigben Interactive","Unreleased","August 13, 2015","Unreleased","February 12, 2015",""
"Best of Arcade Games: Brick Breaker","EKO Software","Bigben Interactive","Unreleased","August 6, 2015","Unreleased","February 5, 2015",""
"Best of Arcade Games: Bubble Buster","EKO Software","Bigben Interactive","Unreleased","August 13, 2015","Unreleased","February 19, 2015",""
"Best of Arcade Games: Tetraminos","EKO Software","Bigben Interactive","Unreleased","August 6, 2015","Unreleased","February 26, 2015",""
"Best of Board Games: Chess","EKO Software","Bigben Interactive","Unreleased","June 18, 2015","Unreleased","February 12, 2015",""
"Best of Board Games: Mahjong","Neko Entertainment","Bigben Interactive","Unreleased","July 30, 2015","Unreleased","February 5, 2015",""
"Best of Board Games: Solitaire","Neko Entertainment","Bigben Interactive","Unreleased","July 30, 2015","Unreleased","February 19, 2015",""
"Best of Casual Games","Neko Entertainment","Bigben Interactive","Unreleased","March 5, 2015","Unreleased","March 5, 2015",""
"Best of Mahjong","GameOn","GameOn","Unreleased","January 15, 2015","Unreleased","December 25, 2014",""
"Best of Solitaire","GameOn","GameOn","Unreleased","January 8, 2015","Unreleased","December 25, 2014",""
"Beyblade Burst","FuRyu","FuRyu","November 10, 2016","Unreleased","Unreleased","Unreleased",""
"Beyblade Burst God","FuRyu","FuRyu","November 23, 2017","Unreleased","Unreleased","Unreleased",""
"Beyblade: Evolution","SIMS Co., Ltd.","JP: IntergrowWW: Rising Star Games","December 19, 2013","October 29, 2013","October 24, 2013","October 4, 2013",""
"Beyond the Labyrinth","tri-Ace","Konami","January 19, 2012","Unreleased","Unreleased","Unreleased",""
"Bibi & Tina","Kiddinx","Kiddinx","Unreleased","Unreleased","Unreleased","February 27, 2014",""
"Big Bass Arcade: No Limit","Big John Games","Big John Games","October 30, 2013","June 13, 2013","Unreleased","August 2, 2018",""
"Bijin Tokei","Nintendo","Nintendo","March 21, 2012","Unreleased","Unreleased","Unreleased",""
"Bike Rider DX","Spicysoft","Spicysoft","December 26, 2012","August 1, 2013","Unreleased","August 15, 2013",""
"Bike Rider DX2: Galaxy","Spicysoft","Spicysoft","December 18, 2013","July 3, 2014","Unreleased","July 9, 2015",""
"Bikkuri! Tobidasu! Mahou no Pen","GAE","GAE","August 11, 2011","Unreleased","Unreleased","Unreleased",""
"Bikkuriman Kanjuku Haoh: Sanmi Douran Sensouki","Nippon Ichi Software","Nippon Ichi Software","July 21, 2011","Unreleased","Unreleased","Unreleased",""
"Binding of Isaac: Rebirth","Nicalis","Nicalis","October 28, 2015","July 23, 2015","October 29, 2015","October 29, 2015",""
"Bingo de NouTore: BinTore","Starsign","Starsign","March 9, 2016","Unreleased","Unreleased","Unreleased",""
"Bingo Collection","SIMS Co., Ltd.","Starsign","Unreleased","April 13, 2017","Unreleased","Unreleased",""
"Bird Mania 3D","Teyon","Teyon","December 19, 2012","May 3, 2012","Unreleased","May 17, 2012",""
